,ip,type,subtype
0,10.197.88.33,Internal,Class A
1,10.0.11.69,Internal,Class A
2,192.168.174.137,Internal,Class C
3,192.168.190.183,Internal,Class C
4,10.0.11.2,Internal,Class A
5,10.196.88.30,Internal,Class A
6,10.197.208.101,Internal,Class A
7,10.0.11.156,Internal,Class A
8,10.0.11.67,Internal,Class A
9,10.0.11.62,Internal,Class A
10,10.0.11.120,Internal,Class A
11,10.0.11.162,Internal,Class A
12,10.0.11.170,Internal,Class A
13,10.0.11.168,Internal,Class A
14,10.0.11.100,Internal,Class A
15,10.0.11.86,Internal,Class A
16,10.0.11.139,Internal,Class A
17,10.0.11.106,Internal,Class A
18,10.196.86.72,Internal,Class A
19,10.196.144.39,Internal,Class A
20,192.168.192.91,Internal,Class C
21,10.0.11.176,Internal,Class A
22,10.127.13.47,Internal,Class A
23,10.196.88.23,Internal,Class A
24,10.0.11.75,Internal,Class A
25,10.197.86.23,Internal,Class A
26,10.196.254.150,Internal,Class A
27,10.0.11.154,Internal,Class A
28,10.197.208.108,Internal,Class A
29,10.200.46.102,Internal,Class A
30,10.196.84.2,Internal,Class A
31,10.200.251.4,Internal,Class A
32,192.168.252.187,Internal,Class C
33,10.201.60.20,Internal,Class A
34,10.197.202.20,Internal,Class A
35,10.196.88.29,Internal,Class A
36,200.75.192.252,External,External
37,10.0.11.116,Internal,Class A
38,10.196.73.25,Internal,Class A
39,10.196.253.132,Internal,Class A
40,10.197.206.156,Internal,Class A
41,192.168.144.9,Internal,Class C
42,192.168.175.245,Internal,Class C
43,10.0.11.77,Internal,Class A
44,10.0.11.160,Internal,Class A
45,192.168.197.171,Internal,Class C
46,10.0.11.88,Internal,Class A
47,10.0.11.123,Internal,Class A
48,10.0.11.79,Internal,Class A
49,10.12.30.128,Internal,Class A
50,192.168.172.37,Internal,Class C
51,10.197.86.14,Internal,Class A
52,10.0.11.13,Internal,Class A
53,10.200.43.131,Internal,Class A
54,10.196.96.46,Internal,Class A
55,10.196.142.10,Internal,Class A
56,10.196.166.190,Internal,Class A
57,165.203.37.103,External,External
58,10.196.88.43,Internal,Class A
59,10.196.86.33,Internal,Class A
60,10.0.11.80,Internal,Class A
61,10.196.137.155,Internal,Class A
62,10.0.11.78,Internal,Class A
63,10.197.206.164,Internal,Class A
64,192.168.190.245,Internal,Class C
65,10.196.72.129,Internal,Class A
66,10.0.11.144,Internal,Class A
67,10.0.11.81,Internal,Class A
68,10.196.79.252,Internal,Class A
69,10.196.142.99,Internal,Class A
70,10.0.11.161,Internal,Class A
71,10.197.86.46,Internal,Class A
72,10.196.94.58,Internal,Class A
73,10.200.43.127,Internal,Class A
74,10.197.208.98,Internal,Class A
75,10.197.90.95,Internal,Class A
76,10.196.222.21,Internal,Class A
77,10.196.224.146,Internal,Class A
78,10.197.80.71,Internal,Class A
79,10.196.82.10,Internal,Class A
80,192.168.148.144,Internal,Class C
81,199.112.224.171,External,External
82,10.196.76.13,Internal,Class A
83,10.196.86.22,Internal,Class A
84,192.168.163.215,Internal,Class C
85,10.0.11.121,Internal,Class A
86,10.196.168.10,Internal,Class A
87,10.0.11.72,Internal,Class A
88,10.196.74.10,Internal,Class A
89,10.196.144.40,Internal,Class A
90,200.75.192.250,External,External
91,10.195.202.25,Internal,Class A
92,192.168.170.17,Internal,Class C
93,10.200.44.72,Internal,Class A
94,10.197.90.24,Internal,Class A
95,10.12.30.209,Internal,Class A
96,10.197.90.22,Internal,Class A
97,192.168.200.1,Internal,Class C
98,10.196.88.40,Internal,Class A
99,10.197.90.79,Internal,Class A
100,64.56.83.238,External,External
101,192.168.200.49,Internal,Class C
102,10.0.11.73,Internal,Class A
103,192.168.194.161,Internal,Class C
104,10.0.11.87,Internal,Class A
105,10.0.11.71,Internal,Class A
106,10.197.204.32,Internal,Class A
107,192.168.190.23,Internal,Class C
108,191.234.217.13,External,External
109,10.0.11.178,Internal,Class A
110,10.0.11.145,Internal,Class A
111,10.197.90.37,Internal,Class A
112,10.0.11.94,Internal,Class A
113,10.196.222.45,Internal,Class A
114,10.12.30.82,Internal,Class A
115,10.200.44.176,Internal,Class A
116,10.196.224.54,Internal,Class A
117,10.196.204.37,Internal,Class A
118,10.200.44.46,Internal,Class A
119,10.200.52.96,Internal,Class A
