,client,dst_ip,dst_port,epoch_time,label,protocol,received_bytes,sent_bytes,src_ip
0,3,8.8.8.8,53,1546370065,Malware,UDP,0,0,192.168.37.10
1,2,8.8.8.8,53,1546607964,Malware,UDP,0,0,192.168.186.37
2,2,10.200.105.201,53,1545917481,Malware,UDP,456,164,10.195.74.11
3,2,8.8.8.8,53,1545386094,Malware,UDP,0,70,192.168.143.103
4,3,192.168.98.222,80,1546243671,Malware,TCP,0,0,192.168.37.10
5,2,212.189.218.209,80,1545512693,Malware,TCP,415,1000,10.196.74.13
6,3,8.8.8.8,53,1546225614,Malware,UDP,0,0,192.168.37.10
7,2,10.200.105.202,53,1545902168,Malware,UDP,0,0,10.200.43.110
8,2,8.8.8.8,53,1547220546,Malware,UDP,0,0,192.168.172.53
9,2,10.200.105.201,53,1547054123,Malware,UDP,270,88,10.200.43.20
10,2,10.200.105.201,53,1546946869,Malware,UDP,102,105,10.195.142.74
11,2,10.200.105.201,53,1547115314,Malware,UDP,51,105,10.195.20.35
12,2,179.239.5.6,80,1546108838,Malware,TCP,1134,784,10.196.74.13
13,1,219.211.198.58,80,1547207524,Malware,TCP,120960,7112,200.75.192.252
14,2,10.200.105.201,53,1546963343,Malware,UDP,342,123,10.197.78.21
15,2,114.77.190.35,80,1547037560,Malware,TCP,0,0,192.168.178.74
16,2,10.200.105.202,53,1545662880,Malware,UDP,135,44,10.197.204.2
17,3,8.8.8.8,53,1546352009,Malware,UDP,0,896,192.168.37.10
18,2,10.200.105.201,53,1545919412,Malware,UDP,1140,410,10.197.207.249
19,2,10.200.105.202,53,1545646655,Malware,UDP,1214,396,10.197.208.14
20,2,8.8.8.8,53,1545656997,Malware,UDP,0,0,192.168.142.15
21,2,8.8.8.8,53,1546971156,Malware,UDP,234,74,192.168.200.106
22,2,58.59.105.78,80,1546436075,Malware,TCP,1144,8608,192.168.198.57
23,2,212.189.218.209,80,1545512693,Malware,TCP,0,0,10.196.74.13
24,2,10.200.105.200,53,1546108365,Malware,UDP,67,35,10.196.74.13
25,2,73.135.105.9,80,1546533205,Malware,TCP,1348,2076,10.200.44.150
26,2,10.200.105.200,53,1545855357,Malware,UDP,0,0,10.196.74.10
27,3,192.168.98.222,80,1546274361,Malware,TCP,0,0,192.168.37.10
28,2,8.8.8.8,53,1546423308,Malware,UDP,0,0,192.168.152.88
29,2,10.200.105.200,53,1545649667,Malware,UDP,91,62,10.196.86.21
30,2,10.200.105.200,53,1547027870,Malware,UDP,0,0,10.196.74.15
31,2,10.200.105.202,53,1545902237,Malware,UDP,0,0,10.200.43.110
32,2,10.200.105.201,53,1546434277,Malware,UDP,0,0,10.197.90.89
33,2,10.200.105.202,53,1546529446,Malware,UDP,222,76,10.196.152.56
34,2,10.200.105.202,53,1546934250,Malware,UDP,284,96,10.197.206.13
35,5,70.115.0.9,53,1545946667,Adware,UDP,0,381,10.0.11.13
36,2,8.8.8.8,53,1545383644,Malware,UDP,0,0,192.168.164.81
37,2,10.200.105.201,53,1545986040,Malware,UDP,295,107,10.197.202.6
38,2,10.200.105.201,53,1547050418,Malware,UDP,102,140,10.195.142.74
39,2,10.200.105.201,53,1547136241,Malware,UDP,0,0,10.197.80.43
40,2,8.8.8.8,53,1546881821,Malware,UDP,0,0,192.168.170.147
41,2,184.79.251.128,80,1545979445,Malware,TCP,0,0,192.168.191.243
42,2,8.8.8.8,53,1545402293,Malware,UDP,0,70,192.168.142.251
43,2,10.200.105.202,53,1545902538,Malware,UDP,0,0,10.200.43.110
44,2,173.99.238.81,80,1547219642,Malware,TCP,246,441,10.196.142.15
45,2,8.8.8.8,53,1545398640,Malware,UDP,236,152,192.168.144.48
46,5,70.115.0.9,53,1545859696,Adware,UDP,0,254,10.0.11.13
47,2,10.200.105.201,53,1546248148,Malware,UDP,0,0,10.197.204.60
48,1,200.75.192.250,80,1546622258,Malware,TCP,0,0,72.240.205.34
49,2,8.8.8.8,53,1546438680,Malware,UDP,228,82,192.168.142.110
50,2,204.134.112.241,80,1547296806,Malware,TCP,814,514,10.196.74.13
51,2,10.200.105.202,53,1545902487,Malware,UDP,0,0,10.200.43.110
52,2,10.200.105.202,53,1546009055,Malware,UDP,0,0,10.197.202.28
53,2,8.8.8.8,53,1546619842,Malware,UDP,0,0,192.168.186.53
54,5,70.115.0.9,53,1546954779,Malware,UDP,0,0,10.0.11.13
55,5,70.115.0.9,53,1545641854,Malware,UDP,0,0,10.0.11.7
56,5,70.115.0.9,53,1546266269,Adware,UDP,122,467,10.0.11.13
57,3,8.8.8.8,53,1546407379,Malware,UDP,0,896,192.168.37.10
58,2,8.8.8.8,53,1545899706,Malware,UDP,0,0,192.168.154.29
59,2,8.8.8.8,53,1547123486,Malware,UDP,124,248,192.168.182.239
60,2,10.200.105.201,53,1546954497,Malware,UDP,0,0,10.197.90.114
61,2,110.18.47.145,80,1545512627,Malware,TCP,2360,4432,10.196.74.13
62,2,10.200.105.200,53,1545512627,Malware,UDP,0,0,10.196.74.13
63,2,60.88.164.186,8040,1546883212,Malware,TCP,0,0,10.197.206.29
64,5,70.115.0.9,53,1546268515,Malware,UDP,0,0,10.0.11.13
65,2,10.200.105.201,53,1546953583,Malware,UDP,2884,1444,10.200.46.114
66,3,8.8.8.8,53,1546406176,Malware,UDP,0,0,192.168.37.10
67,2,10.200.105.201,53,1546946156,Malware,UDP,0,0,10.196.80.67
68,2,14.8.4.4,53,1546965677,Malware,UDP,0,0,192.168.152.102
69,2,40.201.191.165,80,1547210614,Malware,TCP,0,0,192.168.155.70
70,2,10.200.105.202,53,1545902598,Malware,UDP,0,0,10.200.43.110
71,2,222.58.204.12,80,1546618759,Malware,TCP,7328,6136,192.168.194.201
72,3,192.168.98.222,80,1546361639,Malware,TCP,0,0,192.168.37.10
73,5,70.115.0.9,53,1547218249,Malware,UDP,0,0,10.0.11.13
74,2,8.8.8.8,53,1546515065,Malware,UDP,0,0,192.168.182.42
75,2,149.204.181.113,80,1545622017,Malware,TCP,8496,5176,10.196.74.10
76,2,8.8.8.8,53,1546970673,Malware,UDP,254,80,192.168.176.138
77,2,10.200.105.201,53,1546968275,Malware,UDP,437,155,10.197.208.50
78,5,70.115.0.9,53,1545837438,Malware,UDP,0,0,10.0.11.13
79,2,10.200.105.201,53,1546855381,Malware,UDP,0,0,10.197.208.26
80,2,28.71.63.178,80,1546969275,Malware,TCP,490,743,10.197.90.198
81,2,212.189.218.209,80,1545512686,Malware,TCP,684,503,10.196.74.10
82,2,8.8.8.8,53,1546429085,Malware,UDP,0,0,192.168.168.57
