,Unnamed: 0,attack,client,dst_ip,severity,src_ip
0,1039,,2,10.200.52.23,Informational,29.44.170.65
1,2509,SSL Enforcement Violation,1,23.248.146.149,High,200.75.192.252
2,256,,2,10.197.206.52,Informational,58.7.22.121
3,1942,,5,157.101.250.49,Informational,10.0.11.142
4,1184,DNS Enforcement Violation,2,10.200.105.201,Critical,10.195.142.73
5,169,Windows SMB Protection Violation,2,10.196.16.26,Critical,10.200.205.230
6,1710,Windows SMB Protection Violation,2,10.197.80.0,Critical,10.200.205.230
7,1774,Windows SMB Protection Violation,2,10.196.78.10,Critical,10.200.205.230
8,2742,Scanner Enforcement Violation,1,200.75.192.250,High,52.17.47.130
9,435,DNS Enforcement Violation,2,10.200.105.201,Critical,10.197.80.5
10,1246,Streaming Engine: TCP anomaly detected,2,10.197.204.17,Informational,10.200.105.202
11,1235,,2,10.196.88.50,Informational,94.221.16.154
12,1438,Windows SMB Protection Violation,2,10.196.80.117,Critical,10.200.205.230
13,2163,SSL Enforcement Violation,1,200.75.192.250,Low,77.6.167.142
14,255,Windows SMB Protection Violation,2,10.196.96.13,Critical,10.200.205.231
15,214,Windows SMB Protection Violation,2,10.196.224.41,Critical,10.200.205.230
16,1226,,2,10.196.86.71,Informational,60.68.196.192
17,1603,Windows SMB Protection Violation,2,10.196.74.11,Critical,10.200.205.231
18,1815,Windows SMB Protection Violation,2,10.196.94.59,Critical,10.200.205.230
19,752,Streaming Engine: TCP anomaly detected,2,10.200.52.136,Informational,10.200.105.201
20,707,DNS Enforcement Violation,2,10.200.105.201,Critical,10.197.90.42
21,1011,DNS Enforcement Violation,2,10.200.105.200,Critical,10.196.86.81
22,2962,Scanner Enforcement Violation,1,200.75.192.252,High,222.244.80.226
23,1506,Windows SMB Protection Violation,2,10.197.206.76,Critical,10.200.205.230
24,445,DNS Enforcement Violation,2,10.200.105.201,Critical,10.197.90.207
25,2428,Application Servers Protection Violation,1,200.75.192.250,High,190.105.139.115
26,1279,,2,10.196.150.18,Informational,94.221.16.154
27,2866,Scanner Enforcement Violation,1,200.75.192.252,High,43.49.231.65
28,2995,Scanner Enforcement Violation,1,200.75.192.250,High,191.53.91.39
29,971,,2,10.196.222.64,Informational,178.226.64.153
30,788,,2,192.168.180.5,Informational,29.62.150.237
31,1404,Windows SMB Protection Violation,2,10.197.80.8,Critical,10.200.205.230
32,136,Windows SMB Protection Violation,2,10.196.222.111,Critical,10.200.205.230
33,2487,Adobe Reader Violation,1,87.150.20.237,Critical,200.75.192.252
34,2640,Scanner Enforcement Violation,1,200.75.192.250,High,68.210.89.184
35,1829,DNS Enforcement Violation,2,10.200.105.201,Critical,10.197.78.70
36,1053,DNS Enforcement Violation,2,10.200.105.200,Critical,10.196.86.87
37,608,DNS Enforcement Violation,2,10.200.105.200,Critical,10.196.86.68
38,2360,Scanner Enforcement Violation,1,200.75.192.254,High,191.31.160.162
39,2952,Scanner Enforcement Violation,1,200.75.192.250,High,191.53.91.41
40,25,DNS Enforcement Violation,2,10.200.105.201,Critical,10.195.80.43
41,1519,Windows SMB Protection Violation,2,10.196.86.24,Critical,10.200.205.231
42,2984,Scanner Enforcement Violation,1,200.75.192.252,High,153.135.64.61
43,502,,2,10.196.222.31,Informational,40.241.55.8
44,2587,Scanner Enforcement Violation,1,200.75.192.254,High,153.135.64.123
45,708,,2,192.168.145.243,Informational,29.10.252.169
46,2403,Scanner Enforcement Violation,1,200.75.192.254,High,191.53.88.55
47,2044,,5,157.101.250.49,Informational,10.0.11.120
48,2858,Scanner Enforcement Violation,1,200.75.192.250,High,191.53.88.61
49,1288,DNS Enforcement Violation,2,10.200.105.201,Critical,10.197.78.59
50,1149,,2,10.196.76.14,Informational,153.75.70.44
51,3210,Streaming Engine: TCP anomaly detected,3,192.168.98.222,Informational,192.168.98.254
52,991,,2,10.196.142.104,Informational,10.177.66.141
53,1606,Windows SMB Protection Violation,2,10.196.12.34,Critical,10.200.205.231
54,2175,Web Server Enforcement Violation,1,200.75.192.250,Critical,120.116.51.249
55,2702,Scanner Enforcement Violation,1,200.75.192.252,High,43.49.231.214
56,2146,Scanner Enforcement Violation,1,200.75.192.252,High,191.53.91.61
57,2895,Scanner Enforcement Violation,1,200.75.192.254,High,191.53.88.55
58,2466,Web Server Enforcement Violation,1,200.75.192.252,Critical,112.13.49.159
59,597,,2,10.196.90.7,Informational,10.177.66.141
60,674,,2,10.197.208.72,Informational,43.252.172.80
61,1401,Windows SMB Protection Violation,2,10.197.90.181,Critical,10.200.205.230
62,1254,DNS Enforcement Violation,2,10.200.105.201,Critical,10.197.78.3
63,2243,NTP Enforcement Violation,1,200.75.192.252,High,191.198.59.197
64,3009,Application Servers Protection Violation,1,200.75.192.250,High,131.212.217.214
65,1651,Windows SMB Protection Violation,2,10.196.224.14,Critical,10.200.205.231
66,2226,Scanner Enforcement Violation,1,200.75.192.252,High,182.32.32.76
67,2622,NTP Enforcement Violation,1,200.75.192.252,High,191.244.43.70
68,1513,Windows SMB Protection Violation,2,10.196.92.8,Critical,10.200.205.231
69,2817,Scanner Enforcement Violation,1,200.75.192.252,High,191.53.91.41
70,2609,Scanner Enforcement Violation,1,200.75.192.254,High,191.53.88.18
71,1708,Windows SMB Protection Violation,2,10.196.78.23,Critical,10.200.205.230
72,1281,,2,10.196.142.104,Informational,10.177.66.141
73,1604,Windows SMB Protection Violation,2,10.197.206.29,Critical,10.200.205.230
74,412,,2,10.195.138.16,Informational,10.177.110.55
75,3100,Scanner Enforcement Violation,1,200.75.192.250,High,57.38.54.53
76,1691,Windows SMB Protection Violation,2,10.196.80.151,Critical,10.200.205.230
77,2664,Web Server Enforcement Violation,1,200.75.192.250,Critical,66.246.6.177
78,2445,Scanner Enforcement Violation,1,200.75.192.252,High,57.15.155.218
79,631,,2,10.197.90.110,Informational,191.33.223.216
80,520,,2,10.196.222.20,Informational,29.44.170.65
81,793,DNS Enforcement Violation,2,10.200.105.201,Critical,10.195.142.24
82,388,DNS Enforcement Violation,2,10.200.105.201,Critical,10.195.206.62
83,1702,Windows SMB Protection Violation,2,10.196.80.9,Critical,10.200.205.230
84,1076,,2,10.196.88.28,Informational,58.211.179.62
